GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD08,HD01_VD11,HD01_VD17
Id,Id2,Geography,Estimate; Total:,Estimate; Under 6 years:,Estimate; Under 6 years: - Living with one parent:,Estimate; 6 to 17 years:,Estimate; 6 to 17 years: - Living with one parent:
0400000US01,01,Alabama,1059528,357122,141977,702406,270077
0400000US02,02,Alaska,174634,61489,20676,113145,32250
0400000US04,04,Arizona,1645424,591862,226729,1053562,374118
0400000US05,05,Arkansas,670246,231937,91509,438309,161724
0400000US06,06,California,8980424,3122142,1061375,5858282,1852240
0400000US08,08,Colorado,1177386,419960,116316,757426,213047
0400000US09,09,Connecticut,780490,244527,73174,535963,159975
0400000US10,10,Delaware,195738,67400,26102,128338,47524
0400000US11,11,District of Columbia,106701,40852,20741,65849,44123
0400000US12,12,Florida,3853587,1311773,507149,2541814,944911
0400000US13,13,Georgia,2441179,849613,318977,1591566,581086
0400000US15,15,Hawaii,273267,99879,34211,173388,54811
0400000US16,16,Idaho,404167,145076,31511,259091,64149
0400000US17,17,Illinois,3041945,1023973,352752,2017972,642325
0400000US18,18,Indiana,1511690,509015,179591,1002675,311610
0400000US19,19,Iowa,681213,230225,70284,450988,127915
0400000US20,20,Kansas,671249,232773,79823,438476,122525
0400000US21,21,Kentucky,944932,323521,119720,621411,205353
0400000US22,22,Louisiana,1054473,367458,166416,687015,278213
0400000US23,23,Maine,257028,81566,26348,175462,57488
0400000US24,24,Maryland,1288290,434487,151032,853803,285477
0400000US25,25,Massachusetts,1385813,453746,131331,932067,270688
0400000US26,26,Michigan,2249462,715195,249842,1534267,505010
0400000US27,27,Minnesota,1215858,418820,107123,797038,212566
0400000US28,28,Mississippi,704489,244621,125705,459868,211000
0400000US29,29,Missouri,1360531,464611,174665,895920,296518
0400000US30,30,Montana,208261,69905,23522,138356,40936
0400000US31,31,Nebraska,423745,155220,42122,268525,70124
0400000US32,32,Nevada,647465,232568,83209,414897,143799
0400000US33,33,New Hampshire,277925,85469,20178,192456,49731
0400000US34,34,New Jersey,1977170,652039,201460,1325131,391331
0400000US35,35,New Mexico,485897,170292,72076,315605,125425
0400000US36,36,New York,4228211,1409309,483390,2818902,987756
0400000US37,37,North Carolina,2153670,748285,280851,1405385,488134
0400000US38,38,North Dakota,136618,49171,13556,87447,21257
0400000US39,39,Ohio,2593549,852120,320488,1741429,589048
0400000US40,40,Oklahoma,868815,307856,109075,560959,193773
0400000US41,41,Oregon,833869,281373,87408,552496,168946
0400000US42,42,Pennsylvania,2646538,859946,306334,1786592,550513
0400000US44,44,Rhode Island,217939,69238,25783,148701,52952
0400000US45,45,South Carolina,1014195,352756,146235,661439,256264
0400000US46,46,South Dakota,184836,65774,20691,119062,31835
0400000US47,47,Tennessee,1408235,485664,189829,922571,319417
0400000US48,48,Texas,6552054,2357888,855686,4194166,1417027
0400000US49,49,Utah,843036,315259,53797,527777,101825
0400000US50,50,Vermont,121531,36171,11678,85360,25324
0400000US51,51,Virginia,1761228,605493,187601,1155735,352512
0400000US53,53,Washington,1501839,515423,146321,986416,297055
0400000US54,54,West Virginia,359692,122671,43232,237021,71445
0400000US55,55,Wisconsin,1253151,418209,129229,834942,243300
0400000US56,56,Wyoming,122403,46904,12099,75499,20189
