 citynumber, cityname, year, statenumber, murder, rape, robbery, assault, burglary, larceny, vehicletheft, policecivilian, policesworn,popcity,popstate,popstate1517,popstate1824,popstate2534,popprison,blackpct,femheadpct,edexppercap,welfarepercap
1,akron,71,36,38,100,772,362,4386,8595,4493,25,523,270666.7,10735,643,1302,1315,9063,17.97,13.58,600,133.3333
1,akron,72,36,31,105,758,400,4136,7620,4012,25,504,276000,10747,654,1308,1385,8276,18.44,13.66,633.9713,157.8947
1,akron,73,36,28,129,836,442,4979,8901,2016,25,484,276300,10767,664,1327,1441,7717,18.91,13.74,662.1622,171.1712
1,akron,74,36,49,121,856,452,6091,10868,1645,25,474,271800,10766,667,1347,1492,9326,19.38,13.82,598.3773,180.5274
1,akron,75,36,35,137,861,598,5662,13136,1584,26,500,273860,10770,657,1379,1536,11421,19.85,13.9,652.4164,182.1561
1,akron,76,36,22,128,686,609,5607,12730,1455,25,468,267000,10753,648,1400,1575,12525,20.32,13.98,731.1072,212.6538
1,akron,77,36,25,146,613,570,4633,10464,1238,33.33331,486,256843,10771,640,1416,1616,12846,20.79,14.06,750.8251,204.6205
1,akron,78,36,20,156,552,569,3370,9616,1315,39,477,245361,10795,632,1422,1648,13107,21.26,14.14,697.8527,226.9939
1,akron,79,36,19,156,491,452,3450,10373,1317,37,455,245051,10799,615,1426,1690,13360,21.73,14.22,692.8375,209.3664
1,akron,80,36,25,178,586,421,3740,12204,1294,39,430,237005,10803,593.6667,1410,1734,13489,22.2,14.3,666.2621,205.0971
1,akron,81,36,24,189,603,421,3852,12205,1231,37,452,237207,10788,569,1398,1784,14968,22.43,14.53,651.2651,237.6237
1,akron,82,36,15,146,606,342,3471,11086,1071,38,434,237538,10757,541,1371,1777,17317,22.66,14.76,633.6125,253.368
1,akron,83,36,19,128,645,637,3236,10447,837,36,423,236547,10738,520,1336,1787,18007,22.89,14.99,665.4254,268.5213
1,akron,84,36,19,152,491,810,3599,9590,977,34,450,230856,10739,514,1299,1800,18619,23.12,15.22,685.8784,291.9563
1,akron,85,36,17,158,511,1187,3197,9126,938,39,439,226704,10736,515,1261,1812,20864,23.35,15.45,732.4542,301.1066
1,akron,86,36,25,163,676,1581,3295,10571,1287,50,470,226877,10732,525,1220,1822,22463,23.58,15.68,778.9205,334.7784
1,akron,87,36,21,129,704,1292,4073,10346,1587,49,453,227552,10762,518,1189,1828,24240,23.81,15.91,782.8704,343.4213
1,akron,88,36,30,150,662,1170,3604,9899,1389,49,436,227158,10800,497,1169,1827,26462,24.04,16.14,792.4817,348.86
1,akron,89,36,20,179,745,1307,3358,9478,1640,52,447,222588,10829,466,1154,1814,30538,24.27,16.37,802.4194,349.1935
1,akron,90,36,18,193,773,1600,3513,9730,1669,59,426,223019,10862,451.643,1138.533,1789.848,31822,24.5,16.6,837.7964,377.9648
1,akron,91,36,40,223,995,1568,3984,9565,1765,62,429,224907,10932,447.345,1129.054,1769.003,35744,24.73,16.83,841.3284,411.8081
1,akron,92,36,24,204,966,1451,3353,9069,2170,68,434,226490,11005,452.559,1119.279,1737.673,38378,24.96,17.06,844.8604,445.6514
1,akron,93,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11061,458.49,1107.767,1698.429,40641,NA,NA,NA,NA
2,albuquer,71,32,31,103,667,988,6232,13701,1988,197,377,254666.7,1053,71,132,130,642,2.23,12.19,834.5679,172.8395
2,albuquer,72,32,23,154,857,1159,7023,12553,1705,155,389,251200,1078,73,136,140,597,2.26,12.08,846.89,179.4258
2,albuquer,73,32,28,169,909,1157,6942,11852,1623,137,447,262404,1104,76,142,148,726,2.29,11.97,828.8289,173.4234
2,albuquer,74,32,31,183,803,877,6547,12781,1472,161,486,278100,1130,78,146,156,902,2.32,11.86,778.9047,160.2434
2,albuquer,75,32,30,181,819,1353,7792,13720,1418,159,509,286238,1163,80,154,164,999,2.35,11.75,842.0074,144.9814
2,albuquer,76,32,28,186,871,1335,7790,16725,1491,184,496,292265,1195,82,161,174,1220,2.38,11.64,871.7047,145.8699
2,albuquer,77,32,31,207,754,1398,6568,13833,1164,214,491,292341,1225,82,166,184,1489,2.41,11.53,891.0891,151.8152
2,albuquer,78,32,37,187,694,1516,6191,12910,1331,188,465,291834,1252,82,169,193,1505,2.44,11.42,904.908,144.1718
